epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.7243,1.8439,6.37835,2.33735,0,0,0,0,1.5859,6.26923,2.16191,3.11579e-05,3.11579e-05,3.11579e-05
2,138.568,1.51635,5.96194,2.08821,0.00482,0.01268,0.00473,0.00368,1.49658,6.04565,2.04173,4.23158e-05,4.23158e-05,4.23158e-05
3,184.554,1.4376,5.70083,2.01353,0.42049,0.0098,0.00889,0.00598,1.50039,5.83007,2.0057,3.23537e-05,3.23537e-05,3.23537e-05
